Date,Entity,Account Type,Account Group,Local Currency Balance,FX Rate,EUR Balance
2020-01-01,Tapstorm SG,Asset,Cash,149411.33,1.2375,184896.52
2020-01-01,Tapstorm SG,Asset,Accounts Receivable,153926.46,1.1276,173567.48
2020-01-01,Tapstorm SG,Asset,Prepaid Expenses,73493.13,1.1381,83642.53
2020-01-01,Tapstorm SG,Asset,PPE,115812.22,1.2066,139739.02
2020-01-01,Tapstorm SG,Liability,Accounts Payable,97971.14,1.2808,125481.44
2020-01-01,Tapstorm SG,Liability,Deferred Revenue,130570.37,1.1387,148680.48
2020-01-01,Tapstorm SG,Liability,Accrued Expenses,100301.35,1.2155,121916.29
2020-01-01,Tapstorm SG,Equity,Retained Earnings,162511.02,1.2975,210858.05
2020-01-01,Tapstorm SG,Equity,Share Capital,102672.34,1.2187,125126.78
2020-01-01,TapForge CN,Asset,Cash,121991.7,1.0165,124004.56
2020-01-01,TapForge CN,Asset,Accounts Receivable,94003.32,1.0803,101551.79
2020-01-01,TapForge CN,Asset,Prepaid Expenses,110283.46,0.9353,103148.12
2020-01-01,TapForge CN,Asset,PPE,81649.85,0.8329,68006.16
2020-01-01,TapForge CN,Liability,Accounts Payable,112878.51,1.2978,146493.73
2020-01-01,TapForge CN,Liability,Deferred Revenue,41105.38,1.2667,52068.18
2020-01-01,TapForge CN,Liability,Accrued Expenses,83854.75,1.1167,93640.6
2020-01-01,TapForge CN,Equity,Retained Earnings,79285.46,0.8023,63610.72
2020-01-01,TapForge CN,Equity,Share Capital,157117.73,0.8031,126181.25
2020-01-01,WhaleCare PH,Asset,Cash,78225.96,1.0058,78679.67
2020-01-01,WhaleCare PH,Asset,Accounts Receivable,85480.06,0.8195,70050.91
2020-01-01,WhaleCare PH,Asset,Prepaid Expenses,77145.08,1.0467,80747.76
2020-01-01,WhaleCare PH,Asset,PPE,112334.61,1.1632,130667.62
2020-01-01,WhaleCare PH,Liability,Accounts Payable,90033.74,1.0257,92347.61
2020-01-01,WhaleCare PH,Liability,Deferred Revenue,86343.57,1.049,90574.4
2020-01-01,WhaleCare PH,Liability,Accrued Expenses,164157.68,1.1296,185432.52
2020-01-01,WhaleCare PH,Equity,Retained Earnings,104592.92,1.0241,107113.61
2020-01-01,WhaleCare PH,Equity,Share Capital,120341.43,1.0435,125576.28
2020-01-01,SummonStorm BR,Asset,Cash,112207.81,0.9913,111231.6
2020-01-01,SummonStorm BR,Asset,Accounts Receivable,74812.71,1.0801,80805.21
2020-01-01,SummonStorm BR,Asset,Prepaid Expenses,82647.55,1.1526,95259.57
2020-01-01,SummonStorm BR,Asset,PPE,66371.4,1.2922,85765.12
2020-01-01,SummonStorm BR,Liability,Accounts Payable,63147.39,1.2295,77639.72
2020-01-01,SummonStorm BR,Liability,Deferred Revenue,101034.47,0.9755,98559.13
2020-01-01,SummonStorm BR,Liability,Accrued Expenses,103020.61,0.9157,94335.97
2020-01-01,SummonStorm BR,Equity,Retained Earnings,96155.35,1.1663,112145.98
2020-01-01,SummonStorm BR,Equity,Share Capital,111281.08,1.0073,112093.43
2020-02-01,Tapstorm SG,Asset,Cash,95001.97,1.2957,123094.05
2020-02-01,Tapstorm SG,Asset,Accounts Receivable,137174.54,1.1686,160302.17
2020-02-01,Tapstorm SG,Asset,Prepaid Expenses,84995.59,0.9724,82649.71
2020-02-01,Tapstorm SG,Asset,PPE,129409.05,1.1403,147565.14
2020-02-01,Tapstorm SG,Liability,Accounts Payable,122661.03,1.2093,148333.98
2020-02-01,Tapstorm SG,Liability,Deferred Revenue,23122.66,0.8371,19355.98
2020-02-01,Tapstorm SG,Liability,Accrued Expenses,54723.82,1.0558,57777.41
2020-02-01,Tapstorm SG,Equity,Retained Earnings,48250.89,1.1514,55556.07
2020-02-01,Tapstorm SG,Equity,Share Capital,109063.27,0.8967,97797.03
2020-02-01,TapForge CN,Asset,Cash,67390.32,0.8589,57881.55
2020-02-01,TapForge CN,Asset,Accounts Receivable,131313.89,1.1602,152350.38
2020-02-01,TapForge CN,Asset,Prepaid Expenses,67172.6,0.9975,67004.67
2020-02-01,TapForge CN,Asset,PPE,105298.95,0.8728,91904.92
2020-02-01,TapForge CN,Liability,Accounts Payable,69587.26,1.2417,86406.5
2020-02-01,TapForge CN,Liability,Deferred Revenue,117154.47,0.891,104384.63
2020-02-01,TapForge CN,Liability,Accrued Expenses,90423.67,1.1187,101156.96
2020-02-01,TapForge CN,Equity,Retained Earnings,86456.61,1.1291,97618.16
2020-02-01,TapForge CN,Equity,Share Capital,79369.73,1.1537,91568.86
2020-02-01,WhaleCare PH,Asset,Cash,66756.33,0.8071,53879.03
2020-02-01,WhaleCare PH,Asset,Accounts Receivable,110827.49,1.296,143632.43
2020-02-01,WhaleCare PH,Asset,Prepaid Expenses,79583.62,0.954,75922.77
2020-02-01,WhaleCare PH,Asset,PPE,171823.29,0.9817,168678.92
2020-02-01,WhaleCare PH,Liability,Accounts Payable,147719.78,1.1761,173733.23
2020-02-01,WhaleCare PH,Liability,Deferred Revenue,91955.93,1.121,103082.6
2020-02-01,WhaleCare PH,Liability,Accrued Expenses,87642.39,1.2633,110718.63
2020-02-01,WhaleCare PH,Equity,Retained Earnings,94161.8,1.1362,106986.64
2020-02-01,WhaleCare PH,Equity,Share Capital,144997.1,1.133,164281.71
2020-02-01,SummonStorm BR,Asset,Cash,163109.59,1.2251,199825.56
2020-02-01,SummonStorm BR,Asset,Accounts Receivable,40986.14,0.8753,35875.17
2020-02-01,SummonStorm BR,Asset,Prepaid Expenses,140107.71,0.9073,127119.73
