Date,Entity,Flow Type,Account Group,Local Currency Flow,FX Rate,EUR Flow
2020-01-01,Tapstorm SG,Operating,Net Income,-19626.42,1.0133,-19887.45
2020-01-01,Tapstorm SG,Operating,Depreciation,-11836.44,0.8251,-9766.25
2020-01-01,Tapstorm SG,Operating,Change in Working Capital,-15793.27,0.9289,-14670.37
2020-01-01,Tapstorm SG,Investing,CapEx,23714.9,0.8824,20926.03
2020-01-01,Tapstorm SG,Investing,Purchase of Intangibles,30440.19,1.2784,38914.74
2020-01-01,Tapstorm SG,Financing,Equity Issuance,-7476.42,1.165,-8710.03
2020-01-01,Tapstorm SG,Financing,Loan Repayment,-16538.78,1.0046,-16614.86
2020-01-01,TapForge CN,Operating,Net Income,-25395.71,1.1205,-28455.89
2020-01-01,TapForge CN,Operating,Depreciation,-9876.99,1.2852,-12693.91
2020-01-01,TapForge CN,Operating,Change in Working Capital,-29707.82,1.2335,-36644.6
2020-01-01,TapForge CN,Investing,CapEx,-45685.53,1.0326,-47174.88
2020-01-01,TapForge CN,Investing,Purchase of Intangibles,-23781.39,0.8266,-19657.7
2020-01-01,TapForge CN,Financing,Equity Issuance,-33821.16,0.8121,-27466.16
2020-01-01,TapForge CN,Financing,Loan Repayment,9690.4,1.0776,10442.38
2020-01-01,WhaleCare PH,Operating,Net Income,-17432.34,0.9025,-15732.69
2020-01-01,WhaleCare PH,Operating,Depreciation,-36934.92,1.2601,-46541.69
2020-01-01,WhaleCare PH,Operating,Change in Working Capital,8629.61,1.1787,10171.72
2020-01-01,WhaleCare PH,Investing,CapEx,16481.9,1.2727,20976.51
2020-01-01,WhaleCare PH,Investing,Purchase of Intangibles,-38714.82,1.2376,-47913.46
2020-01-01,WhaleCare PH,Financing,Equity Issuance,-17680.52,0.9913,-17526.7
2020-01-01,WhaleCare PH,Financing,Loan Repayment,1001.13,0.8514,852.36
2020-01-01,SummonStorm BR,Operating,Net Income,-18235.39,1.2569,-22920.06
2020-01-01,SummonStorm BR,Operating,Depreciation,45925.95,1.2884,59170.99
2020-01-01,SummonStorm BR,Operating,Change in Working Capital,42276.81,0.9973,42162.66
2020-01-01,SummonStorm BR,Investing,CapEx,-24052.27,1.2361,-29731.01
2020-01-01,SummonStorm BR,Investing,Purchase of Intangibles,-22199.9,1.2245,-27183.78
2020-01-01,SummonStorm BR,Financing,Equity Issuance,53309.07,0.8563,45648.56
2020-01-01,SummonStorm BR,Financing,Loan Repayment,13769.42,1.208,16633.46
2020-02-01,Tapstorm SG,Operating,Net Income,17299.45,0.9433,16318.57
2020-02-01,Tapstorm SG,Operating,Depreciation,37712.49,1.2462,46997.31
2020-02-01,Tapstorm SG,Operating,Change in Working Capital,-14603.65,1.0227,-14935.15
2020-02-01,Tapstorm SG,Investing,CapEx,29400.58,1.1326,33299.1
2020-02-01,Tapstorm SG,Investing,Purchase of Intangibles,10163.38,0.9299,9450.93
2020-02-01,Tapstorm SG,Financing,Equity Issuance,42882.18,1.1609,49781.92
2020-02-01,Tapstorm SG,Financing,Loan Repayment,19811.57,1.2822,25402.4
2020-02-01,TapForge CN,Operating,Net Income,-17204.52,0.966,-16619.57
2020-02-01,TapForge CN,Operating,Depreciation,-14882.9,1.1771,-17518.66
2020-02-01,TapForge CN,Operating,Change in Working Capital,11202.18,0.876,9813.11
2020-02-01,TapForge CN,Investing,CapEx,-20807.47,1.1531,-23993.09
2020-02-01,TapForge CN,Investing,Purchase of Intangibles,3300.34,0.9923,3274.93
2020-02-01,TapForge CN,Financing,Equity Issuance,-11918.26,1.0273,-12243.63
2020-02-01,TapForge CN,Financing,Loan Repayment,-25202.68,1.2954,-32647.55
2020-02-01,WhaleCare PH,Operating,Net Income,26058.25,1.257,32755.22
2020-02-01,WhaleCare PH,Operating,Depreciation,-24152.58,0.8269,-19971.77
2020-02-01,WhaleCare PH,Operating,Change in Working Capital,-15892.13,0.9783,-15547.27
2020-02-01,WhaleCare PH,Investing,CapEx,43163.57,0.8072,34841.63
2020-02-01,WhaleCare PH,Investing,Purchase of Intangibles,35430.34,1.1874,42069.99
2020-02-01,WhaleCare PH,Financing,Equity Issuance,23750.69,1.2394,29436.61
2020-02-01,WhaleCare PH,Financing,Loan Repayment,23617.11,1.1064,26129.97
2020-02-01,SummonStorm BR,Operating,Net Income,-19308.55,1.18,-22784.09
2020-02-01,SummonStorm BR,Operating,Depreciation,-17283.03,0.9803,-16942.55
2020-02-01,SummonStorm BR,Operating,Change in Working Capital,-23119.56,1.2896,-29814.98
2020-02-01,SummonStorm BR,Investing,CapEx,36342.65,1.1225,40794.62
2020-02-01,SummonStorm BR,Investing,Purchase of Intangibles,-19638.06,1.0653,-20920.43
2020-02-01,SummonStorm BR,Financing,Equity Issuance,40365.69,1.0159,41007.5
