Date,Entity,Department,Account Group,Product,Currency,Revenue,COGS,Gross Profit,OPEX_HR,OPEX_Marketing,OPEX_Ops,Depreciation,EBITDA,Interest,Tax,Net Profit,Budgeted Revenue,Budgeted OPEX
2020-01-01,Tapstorm SG,R&D,Revenue,Idle Bureaucracy,EUR,1649014.25,571216.54,1077797.71,176543.39,86643.6,86378.04,21395.21,728232.6799999999,13031.55,107280.17,607920.9599999998,1741706.803122987,353860.81842109753
2020-01-01,Tapstorm SG,Human Resources,Revenue,Idle Bureaucracy,EUR,1662768.01,393020.15,1269747.8599999999,165715.5,92277.51,27749.02,24751.85,984005.8299999998,12449.34,145733.47,825823.0199999999,1614421.4988625417,288456.21600357624
2020-01-01,Tapstorm SG,Marketing,Revenue,Petty Kingdoms,EUR,1227592.78,357492.2,870100.5800000001,144692.41,101115.75,91954.41,32797.44,532338.01,11182.7,78173.3,442982.01,1174766.4696924633,341036.07963386655
2020-01-01,Tapstorm SG,LiveOps,Revenue,Summon Siege,EUR,1612709.41,343523.75,1269185.66,164993.65,148423.19,85820.68,16822.2,869948.1400000001,6935.34,129451.92,733560.8800000001,1651860.4088826755,403994.8869204037
2020-01-01,Tapstorm SG,BI & Analytics,Revenue,Petty Kingdoms,EUR,1746763.47,458249.8,1288513.67,149478.91,203349.39,103872.79,21093.19,831812.58,12645.28,122875.09,696292.21,1900969.7321508864,461527.6175764177
2020-01-01,Tapstorm SG,Infrastructure,Revenue,Summon Siege,EUR,1409668.89,391515.03,1018153.8599999999,199342.51,103855.75,53066.44,15597.04,661889.1599999999,6608.34,98292.12,556988.7,1508810.2646131348,361466.34332394204
2020-01-01,TapForge CN,R&D,Revenue,Summon Siege,EUR,1296923.4,260817.03,1036106.3699999999,195291.91,137463.68,97754.97,24471.66,605595.8099999998,12264.99,88999.62,504331.19999999984,1246481.7662218187,434251.733715166
2020-01-01,TapForge CN,HR Dept.,Revenue,Idle Bureaucracy,EUR,1407236.29,524365.35,882870.9400000001,142296.17,152989.41,76445.36,17948.08,511140.0,13539.15,74640.13,422960.72,1471453.5770977538,375383.6280908165
2020-01-01,TapForge CN,Marketing,Revenue,Summon Siege,EUR,1478396.96,331040.95,1147356.01,205088.32,149188.91,95911.91,27477.17,697166.8699999999,11014.54,102922.85,583229.4799999999,1513980.9982789755,451259.5223438654
2020-01-01,TapForge CN,LiveOps,Revenue,Idle Bureaucracy,EUR,1746570.75,358193.41,1388377.34,144531.24,151274.75,98070.65,20095.0,994500.7000000001,8396.75,147915.59,838188.3600000001,1857185.740306273,396634.0591937785
2020-01-01,TapForge CN,BI & Analytics,Revenue,Petty Kingdoms,EUR,1257451.92,485300.4,772151.5199999999,167456.07,135043.45,103163.73,21285.58,366488.26999999996,10943.54,53331.71,302213.01999999996,1229769.7558141137,410808.86632402206
2020-01-01,TapForge CN,Infrastructure,Revenue,Summon Siege,EUR,1790593.5,647278.12,1143315.38,172267.79,140193.77,74867.4,18160.87,755986.4199999998,13821.2,111324.78,630840.4399999998,1932246.6131445027,391891.03099376155
2020-01-01,WhaleCare PH,R&D,Revenue,Summon Siege,EUR,1501534.04,425658.17,1075875.87,174135.32,108134.51,74217.26,22264.68,719388.78,9501.82,106483.04,603403.92,1499252.3686385455,364316.3688518158
2020-01-01,WhaleCare PH,Human Resources,Revenue,Idle Bureaucracy,EUR,1552373.34,423372.45,1129000.8900000001,179536.23,69794.86,58549.36,15037.07,821120.4400000002,10307.04,121622.01,689191.3900000001,1591806.5001356588,312231.536079178
2020-01-01,WhaleCare PH,Marketing,Revenue,Summon Siege,EUR,1442291.71,330254.48,1112037.23,187538.68,130194.63,79852.4,23836.48,714451.52,6550.62,106185.13,601715.77,1534948.7731042996,403772.25792056456
2020-01-01,WhaleCare PH,LiveOps,Revenue,Idle Bureaucracy,EUR,1227183.76,335704.25,891479.51,215130.13,161769.77,62387.18,20384.47,452192.43,8519.7,66550.91,377121.81999999995,1200158.4450353137,445671.8239125129
2020-01-01,WhaleCare PH,BI & Analytics,Revenue,Petty Kingdoms,EUR,1529895.41,513299.6,1016595.8099999999,167413.11,120274.33,72689.21,23245.43,656219.16,6331.38,97483.17,552404.61,1493414.999408924,363997.5136486493
2020-01-01,WhaleCare PH,Infrastructure,Revenue,Petty Kingdoms,EUR,1964980.32,761127.26,1203853.06,170293.39,93434.63,72865.1,22780.61,867259.9400000001,13131.58,128119.25,726009.1100000001,2030375.104266146,342382.79224200203
2020-01-01,SummonStorm BR,R&D,Revenue,Idle Bureaucracy,EUR,1017755.03,222502.17,795252.86,184615.85,76798.76,103814.55,26496.98,430023.7,7398.56,63393.77,359231.37,1103823.0504297016,370604.8992755188
2020-01-01,SummonStorm BR,Human Resources,Revenue,Idle Bureaucracy,EUR,1603934.46,526742.23,1077192.23,185657.21,145422.04,83496.66,13915.73,662616.32,13148.04,97420.24,552048.0399999999,1577694.7280646292,421563.56849227136
2020-01-01,SummonStorm BR,Marketing,Revenue,Summon Siege,EUR,1207595.5,320109.34,887486.1599999999,199677.12,143099.32,105367.79,22122.43,439341.93,12821.61,63978.05,362542.27,1250158.76179988,452776.1478259957
2020-01-01,SummonStorm BR,LiveOps,Revenue,Summon Siege,EUR,1273879.15,322342.98,951536.1699999999,201966.84,112812.16,104187.64,22689.8,532569.5299999999,18203.27,77154.94,437211.3199999999,1304296.3956742901,424107.28814522794
2020-01-01,SummonStorm BR,BI & Analytics,Revenue,Summon Siege,EUR,1687700.2,432311.95,1255388.25,158571.06,121259.4,77254.56,19379.34,898303.23,12221.02,132912.33,753169.88,1848028.7197146448,360814.82942289737
2020-01-01,SummonStorm BR,Infrastructure,Revenue,Petty Kingdoms,EUR,1045545.83,387089.65,658456.1799999999,156848.83,104611.04,94202.18,20462.39,302794.13,11890.22,43635.59,247268.32000000004,1008508.9101754071,363306.45620845485
2020-02-01,Tapstorm SG,R&D,Revenue,Petty Kingdoms,EUR,1517462.62,569768.69,947693.9300000002,151425.74,146173.41,101323.97,15204.96,548770.8100000002,14146.01,80193.72,454431.0800000002,1508416.6863812346,404695.672900813
2020-02-01,Tapstorm SG,HR,Revenue,Petty Kingdoms,EUR,1654135.79,617678.23,1036457.56,180598.3,146157.42,108747.13,20036.53,600954.71,13992.64,88044.31,498917.75999999995,1768881.3708900842,441985.15391575615
2020-02-01,Tapstorm SG,Marketing,Revenue,Summon Siege,EUR,1405419.23,386654.15,1018765.08,198974.23,124950.68,62881.42,19801.82,631958.7499999999,8396.01,93534.41,530028.3299999998,1449544.7492011532,392835.7202855618
2020-02-01,Tapstorm SG,LiveOps,Revenue,Summon Siege,EUR,1016185.24,209435.83,806749.41,157671.99,109955.48,111207.6,20642.76,427914.3400000001,11648.73,62439.84,353825.77000000014,978385.3031297125,381928.7622896859
2020-02-01,Tapstorm SG,BI & Analytics,Revenue,Petty Kingdoms,EUR,1513671.55,466403.11,1047268.4400000001,163709.99,160903.06,96575.32,20075.72,626080.0700000001,11326.22,92213.08,522540.7700000001,1511315.4762469265,425195.6903028474
2020-02-01,Tapstorm SG,Infrastructure,Revenue,Petty Kingdoms,EUR,1755730.0,505289.06,1250440.94,160704.52,169839.05,73315.06,18410.77,846582.3099999998,10953.3,125344.35,710284.6599999998,1856139.124904327,406440.2890392382
2020-02-01,TapForge CN,R&D,Revenue,Idle Bureaucracy,EUR,1121734.81,438568.09,683166.72,202946.55,131318.89,113027.02,13365.84,235874.25999999995,15531.15,33051.47,187291.63999999996,1107331.340665879,454192.82672377996
2020-02-01,TapForge CN,HR Dept.,Revenue,Petty Kingdoms,EUR,1287699.16,261246.73,1026452.4299999999,174065.2,176160.17,79611.16,15337.04,596615.8999999999,6115.17,88575.11,501925.6199999999,1307114.762643253,434678.8522428804
2020-02-01,TapForge CN,Marketing,Revenue,Petty Kingdoms,EUR,1989723.39,650676.82,1339046.5699999998,144246.47,116147.64,70686.7,20292.54,1007965.76,17043.99,148638.27,842283.5,2145863.9010464684,334608.5470234281
2020-02-01,TapForge CN,LiveOps,Revenue,Petty Kingdoms,EUR,1638631.04,350853.44,1287777.6,174938.56,121826.9,92943.25,20630.47,898068.89,4307.87,134064.15,759696.87,1714816.294360891,396629.52114251617
2020-02-01,TapForge CN,BI & Analytics,Revenue,Idle Bureaucracy,EUR,2139910.01,830912.0,1308998.0099999998,131197.81,133179.81,77830.04,17567.84,966790.3499999996,10622.79,143425.13,812742.4299999996,2135301.3811317515,346323.6128645837
2020-02-01,TapForge CN,Infrastructure,Revenue,Petty Kingdoms,EUR,1754880.63,392449.16,1362431.47,203800.28,163576.51,87240.28,22906.57,907814.3999999999,8110.9,134955.52,764747.9799999999,1713844.3812562607,460932.20197492855
2020-02-01,WhaleCare PH,R&D,Revenue,Summon Siege,EUR,1724188.08,686401.05,1037787.03,195259.26,66369.85,55588.6,16653.99,720569.3200000001,13485.81,106062.53,601020.98,1878698.778926752,321891.1881951592
2020-02-01,WhaleCare PH,HR,Revenue,Petty Kingdoms,EUR,1829633.06,640690.32,1188942.7400000002,169802.12,127848.69,80242.93,24654.67,811049.0000000002,8430.44,120392.78,682225.7800000003,1983923.2427281875,384317.4544816715
2020-02-01,WhaleCare PH,Marketing,Revenue,Petty Kingdoms,EUR,1597249.91,623121.42,974128.4899999999,176746.42,177369.53,101304.54,11039.77,518707.9999999998,8659.68,76507.25,433541.06999999983,1596131.3268268432,462157.6563102501
2020-02-01,WhaleCare PH,LiveOps,Revenue,Idle Bureaucracy,EUR,1737498.81,622573.29,1114925.52,162521.34,119735.49,38199.65,28852.16,794469.04,9072.72,117809.45,667586.8700000001,1681134.4397599825,326662.1995770644
2020-02-01,WhaleCare PH,BI & Analytics,Revenue,Petty Kingdoms,EUR,1623879.44,525558.21,1098321.23,165906.89,107000.9,84076.45,22795.55,741336.99,12617.62,109307.91,619411.46,1562500.5598530176,359812.1134877541
2020-02-01,WhaleCare PH,Infrastructure,Revenue,Petty Kingdoms,EUR,1077760.87,390752.89,687007.9800000001,163394.31,160803.34,39258.48,27850.16,323551.8500000001,9093.03,47168.82,267290.00000000006,1099638.4416875523,368449.2857565146
2020-02-01,SummonStorm BR,R&D,Revenue,Idle Bureaucracy,EUR,1596815.57,557622.33,1039193.2400000001,159319.23,134780.59,81777.46,12771.95,663315.9600000002,7467.59,98377.26,557471.1100000002,1725023.6832972036,381213.41872271564
2020-02-01,SummonStorm BR,HR,Revenue,Idle Bureaucracy,EUR,1503777.72,322950.27,1180827.45,191840.68,121630.52,125515.23,22031.13,741841.02,8704.17,109970.53,623166.32,1570145.0128254585,446776.38050973037
2020-02-01,SummonStorm BR,Marketing,Revenue,Petty Kingdoms,EUR,1761696.19,368351.78,1393344.41,184583.55,116672.04,99526.18,12735.75,992562.6399999999,12352.02,147031.59,833179.0299999999,1723323.2300515596,402595.92641353526
2020-02-01,SummonStorm BR,LiveOps,Revenue,Summon Siege,EUR,1342273.49,425139.92,917133.5700000001,132182.34,130874.29,91426.95,24852.62,562649.9900000001,12225.89,82563.62,467860.4800000001,1359369.296498501,361698.56793814444
2020-02-01,SummonStorm BR,BI & Analytics,Revenue,Summon Siege,EUR,1853832.04,736815.23,1117016.81,168270.61,128864.33,58053.08,21704.61,761828.7900000002,9740.76,112813.2,639274.8300000002,1995312.4941798914,360016.2102321211
2020-02-01,SummonStorm BR,Infrastructure,Revenue,Idle Bureaucracy,EUR,1871344.89,529523.05,1341821.8399999999,177284.28,118335.45,85187.79,21511.74,961014.3199999998,14548.7,141969.84,804495.7799999999,2042975.0236293902,386276.2077216469
2020-03-01,Tapstorm SG,R&D,Revenue,Idle Bureaucracy,EUR,1364980.36,395992.85,968987.5100000001,195571.25,78942.3,90709.84,25302.23,603764.1200000001,14624.11,88371.0,500769.0100000001,1370064.103369857,370721.8610179694
2020-03-01,Tapstorm SG,Human Resources,Revenue,Idle Bureaucracy,EUR,1275454.04,387816.52,887637.52,182871.54,166537.89,83399.46,25766.23,454828.62999999995,13079.74,66262.33,375486.55999999994,1288874.9157672073,438058.0221987623
2020-03-01,Tapstorm SG,Marketing,Revenue,Idle Bureaucracy,EUR,1693612.78,577210.25,1116402.53,214215.79,106990.49,73153.83,11345.63,722042.42,14333.02,106156.41,601552.99,1720069.108830334,398955.9997483332
2020-03-01,Tapstorm SG,LiveOps,Revenue,Idle Bureaucracy,EUR,1715262.68,519377.93,1195884.75,167832.14,160033.37,99630.95,21653.5,768388.29,9955.85,113764.87,644667.5700000001,1695943.0902352945,433691.0681445445
2020-03-01,Tapstorm SG,BI & Analytics,Revenue,Petty Kingdoms,EUR,1615219.63,482181.21,1133038.42,179182.63,153680.33,51176.08,19385.44,748999.38,9774.09,110883.79,628341.5,1565684.0070108532,389588.9373691453
2020-03-01,Tapstorm SG,Infrastructure,Revenue,Idle Bureaucracy,EUR,1218036.06,287914.51,930121.55,198684.2,111279.23,121101.85,18403.2,499056.27000000014,8659.95,73559.45,416836.8700000001,1164601.1742502311,435351.77297804714
2020-03-01,TapForge CN,R&D,Revenue,Idle Bureaucracy,EUR,1340922.71,315656.02,1025266.69,160178.18,76977.33,76169.34,20287.37,711941.8400000001,3151.59,106318.54,602471.7100000001,1412741.490186351,317275.2617380111
2020-03-01,TapForge CN,Human Resources,Revenue,Summon Siege,EUR,1564193.97,586128.08,978065.89,201283.86,101389.09,65271.76,22897.52,610121.18,8358.16,90264.45,511498.57,1599667.4612643293,371102.6289713145
2020-03-01,TapForge CN,Marketing,Revenue,Petty Kingdoms,EUR,1045442.68,305799.24,739643.4400000001,214171.86,145542.06,60241.28,20143.1,319688.2400000001,12905.87,46017.36,260765.01000000013,1076614.6682149868,424763.3236127788
2020-03-01,TapForge CN,LiveOps,Revenue,Idle Bureaucracy,EUR,1213337.87,371916.51,841421.3600000001,159737.35,92863.74,76261.9,19761.05,512558.3700000001,6816.21,75861.32,429880.8400000001,1212275.7174583287,332881.42998083046
2020-03-01,TapForge CN,BI & Analytics,Revenue,Petty Kingdoms,EUR,2006142.49,717866.49,1288276.0,202040.99,93780.78,79934.08,31871.65,912520.15,13043.6,134921.48,764555.0700000001,2130154.035932666,379199.9807685104
2020-03-01,TapForge CN,Infrastructure,Revenue,Summon Siege,EUR,1442898.4,370471.64,1072426.7599999998,214893.3,80710.52,41724.45,24706.42,735098.4899999998,10083.07,108752.31,616263.1099999999,1422097.6037349498,342519.31821780576
2020-03-01,WhaleCare PH,R&D,Revenue,Petty Kingdoms,EUR,1304807.23,309648.25,995158.98,167821.87,95142.49,69096.62,7486.2,663098.0,12053.93,97656.61,553387.46,1431839.0767909626,336702.55792970036
2020-03-01,WhaleCare PH,H.R.,Revenue,Idle Bureaucracy,EUR,1227730.9,483595.94,744134.96,185933.11,128207.32,65519.96,17337.1,364474.56999999995,11584.95,52933.44,299956.17999999993,1268877.6061589892,384971.6452277387
2020-03-01,WhaleCare PH,Marketing,Revenue,Idle Bureaucracy,EUR,999178.42,353607.83,645570.5900000001,193584.0,103063.29,59959.07,21398.79,288964.2300000001,1777.14,43078.06,244109.0300000001,985551.0850140684,361995.9437525822
2020-03-01,WhaleCare PH,LiveOps,Revenue,Summon Siege,EUR,1228705.01,316669.36,912035.65,151521.46,128032.28,135675.55,11944.97,496806.36000000004,9554.35,73087.8,414164.2100000001,1192043.1575458674,419618.09979354707
2020-03-01,WhaleCare PH,BI & Analytics,Revenue,Summon Siege,EUR,1801887.84,452144.35,1349743.4900000002,165577.7,153189.87,95432.76,16383.3,935543.1600000003,17301.54,137736.24,780505.3800000002,1823107.1182824674,420065.9381907708
