date,campaign_id,campaign_type,region,channel,spend_eur,leads,qualified_leads,conversions,cac,customer_segment,product_id,units_sold,avg_unit_price,discount_pct,net_revenue_eur,fulfillment_lag_months,fulfillment_month,cash_lag_months,cash_month,cash_collected_eur,backlog_volume,sla_breach_rate
2020-01,CMP-0001,Brand,Europe,Social,52935.97,5963,4395,1056,50.12875946969697,Churn-Prone,SIM-5,1056,45,0.10569992284435979,42497.13966643602,1,2020-02,2,2020-04,42497.13966643602,2662,0.13
2020-01,CMP-0002,Performance,Europe,Email,77104.1,44276,18332,4139,18.628678424740276,Casual,SIM-5,4139,45,0.078114636617211,171705.75835686136,2,2020-03,2,2020-05,171705.75835686136,6007,0.14
2020-01,CMP-0003,Product Launch,Europe,Affiliate,54460.0,18675,8300,1590,34.25157232704402,Whale,SIM-5,1590,45,0.17445299655505447,59067.88809648585,1,2020-02,1,2020-03,59067.88809648585,2987,0.14
2020-01,CMP-0004,Brand,Europe,Search,95743.75,14969,6497,2446,39.14298855273917,Casual,SIM-1,2446,55,0.29556606665272733,94767.49705320859,1,2020-02,2,2020-04,94767.49705320859,4250,0.1
2020-01,CMP-0005,Product Launch,APAC,Social,23702.71,3151,2114,634,37.38597791798107,Whale,SIM-4,634,60,0.1570821413441435,32064.595343268782,1,2020-02,1,2020-03,32064.595343268782,790,0.11
2020-01,CMP-0006,Product Launch,APAC,Email,14907.42,3884,2150,415,35.921493975903616,Casual,SIM-3,415,55,0.20568151585226208,18130.31940067212,1,2020-02,2,2020-04,18130.31940067212,4385,0.09
2020-01,CMP-0007,Performance,APAC,Affiliate,58820.02,10660,7638,535,109.94396261682242,Churn-Prone,SIM-5,535,45,0.29698370569190025,16925.117285467502,1,2020-02,2,2020-04,16925.117285467502,4664,0.14
2020-01,CMP-0008,Brand,APAC,Search,45416.96,5968,4731,967,46.96686659772492,Casual,SIM-5,967,45,0.2965912918328695,30608.829935892685,2,2020-03,2,2020-05,30608.829935892685,5551,0.07
2020-01,CMP-0009,Performance,North America,Social,37525.32,5825,2353,461,81.39982646420825,Casual,SIM-3,461,55,0.06658422368714932,23666.75700841233,1,2020-02,2,2020-04,23666.75700841233,3603,0.15
2020-01,CMP-0010,Brand,North America,Email,15046.71,2849,2242,830,18.12856626506024,Whale,SIM-5,830,45,0.2174028943986432,29230.001894210676,1,2020-02,1,2020-03,29230.001894210676,2991,0.1
2020-01,CMP-0011,Brand,North America,Affiliate,38177.6,27579,14804,5289,7.218302136509737,Churn-Prone,SIM-3,5289,55,0.14773278614705315,247920.27117375296,1,2020-02,2,2020-04,247920.27117375296,2525,0.06
2020-01,CMP-0012,Brand,North America,Search,61837.79,6517,3631,1092,56.62801282051282,Whale,SIM-2,1092,50,0.055444393001430656,51572.73614212189,1,2020-02,1,2020-03,51572.73614212189,4797,0.1
2020-01,CMP-0013,Performance,LATAM,Social,20359.93,4326,2249,852,23.89663145539906,Whale,SIM-2,852,50,0.18908923984407738,34544.79838264231,2,2020-03,1,2020-04,34544.79838264231,7064,0.06
2020-01,CMP-0014,Product Launch,LATAM,Email,27966.6,5554,4872,554,50.481227436823104,Casual,SIM-1,554,55,0.29741173919998476,21407.864306576463,1,2020-02,2,2020-04,21407.864306576463,1725,0.13
2020-01,CMP-0015,Product Launch,LATAM,Affiliate,15291.23,2021,888,260,58.812423076923075,Casual,SIM-5,260,45,0.25899358513499304,8669.77505392058,1,2020-02,2,2020-04,8669.77505392058,4075,0.1
2020-01,CMP-0016,Performance,LATAM,Search,78896.1,8239,4712,1665,47.38504504504505,Whale,SIM-5,1665,45,0.21915172513730213,58505.056994087645,1,2020-02,1,2020-03,58505.056994087645,3626,0.1
2020-02,CMP-0017,Performance,Europe,Social,32182.71,3511,1822,249,129.2478313253012,Churn-Prone,SIM-3,249,55,0.2135304482214514,10770.700511607223,1,2020-03,2,2020-05,10770.700511607223,2993,0.05
2020-02,CMP-0018,Product Launch,Europe,Email,63465.56,9270,5128,1013,62.651095755182624,Casual,SIM-4,1013,60,0.14504025223464906,51964.453469178035,1,2020-03,2,2020-05,51964.453469178035,2598,0.09
2020-02,CMP-0019,Product Launch,Europe,Affiliate,98776.12,12065,10114,2421,40.79971912432879,Churn-Prone,SIM-2,2421,50,0.16225789717308214,101408.6815471984,1,2020-03,2,2020-05,101408.6815471984,3113,0.11
2020-02,CMP-0020,Brand,Europe,Search,17086.08,4102,2677,1031,16.572337536372455,Churn-Prone,SIM-2,1031,50,0.17264167740707825,42650.32152966512,1,2020-03,2,2020-05,42650.32152966512,3557,0.02
2020-02,CMP-0021,Brand,APAC,Social,35002.56,4764,3644,1351,25.90863064396743,Whale,SIM-2,1351,50,0.1708969453341409,56005.91134267878,1,2020-03,1,2020-04,56005.91134267878,4041,0.04
2020-02,CMP-0022,Brand,APAC,Email,56236.92,12331,9333,1157,48.605808124459806,Whale,SIM-4,1157,60,0.07180912052478149,64435.01085316967,1,2020-03,1,2020-04,64435.01085316967,3824,0.14
2020-02,CMP-0023,Product Launch,APAC,Affiliate,18923.33,2474,2203,231,81.9191774891775,Casual,SIM-5,231,45,0.08668901704075223,9493.867667861381,1,2020-03,2,2020-05,9493.867667861381,4234,0.04
2020-02,CMP-0024,Brand,APAC,Search,39467.32,7673,5071,732,53.917103825136614,Whale,SIM-2,732,50,0.28859535450342666,26037.410025174584,2,2020-04,1,2020-05,26037.410025174584,5330,0.13
2020-02,CMP-0025,Brand,North America,Social,90177.77,9557,6185,1037,86.96024108003857,Churn-Prone,SIM-2,1037,50,0.06700880041145076,48375.59369866628,1,2020-03,2,2020-05,48375.59369866628,2011,0.13
2020-02,CMP-0026,Performance,North America,Email,74969.05,25883,14056,5060,14.816017786561265,Churn-Prone,SIM-2,5060,50,0.06346260470845742,236943.96100876026,1,2020-03,2,2020-05,236943.96100876026,4721,0.05
2020-02,CMP-0027,Brand,North America,Affiliate,42524.37,7991,3680,956,44.48155857740586,Whale,SIM-2,956,50,0.14163359933001574,41029.91395202525,2,2020-04,1,2020-05,41029.91395202525,5117,0.11
2020-02,CMP-0028,Performance,North America,Search,54052.98,13643,12078,2908,18.587682255845944,Casual,SIM-5,2908,45,0.22983609978865993,100783.64798165596,1,2020-03,2,2020-05,100783.64798165596,3576,0.13
2020-02,CMP-0029,Performance,LATAM,Social,71390.1,16647,13846,3871,18.442288814259882,Whale,SIM-2,3871,50,0.06312997628878074,181331.1930893065,1,2020-03,1,2020-04,181331.1930893065,1376,0.07
2020-02,CMP-0030,Performance,LATAM,Email,91148.7,11306,9056,2947,30.929317950458092,Whale,SIM-5,2947,45,0.2087782286814951,104927.87520340353,1,2020-03,1,2020-04,104927.87520340353,4883,0.12
2020-02,CMP-0031,Performance,LATAM,Affiliate,58545.79,19223,8760,1509,38.797740225314776,Churn-Prone,SIM-5,1509,45,0.2043260439657354,54030.23998450674,2,2020-04,2,2020-06,54030.23998450674,6999,0.12
2020-02,CMP-0032,Brand,LATAM,Search,37205.3,19516,14360,1709,21.77021650087771,Whale,SIM-1,1709,55,0.15338607520146752,79577.47586143806,1,2020-03,1,2020-04,79577.47586143806,3412,0.11
2020-03,CMP-0033,Brand,Europe,Social,63860.46,13348,7753,2224,28.71423561151079,Casual,SIM-5,2224,45,0.15600769052334051,84466.75033242408,2,2020-05,2,2020-07,84466.75033242408,5833,0.09
2020-03,CMP-0034,Brand,Europe,Email,53833.1,49726,24233,2254,23.883362910381543,Casual,SIM-4,2254,60,0.12535629652927943,118286.81445738026,1,2020-04,2,2020-06,118286.81445738026,2060,0.14
2020-03,CMP-0035,Performance,Europe,Affiliate,29280.33,3398,1383,225,130.1348,Casual,SIM-1,225,55,0.08421118403442145,11332.886597574035,1,2020-04,2,2020-06,11332.886597574035,4600,0.03
2020-03,CMP-0036,Performance,Europe,Search,98372.36,74728,64603,6272,15.68436862244898,Casual,SIM-4,6272,60,0.1419486715877199,322901.87590810924,1,2020-04,2,2020-06,322901.87590810924,3331,0.01
2020-03,CMP-0037,Brand,APAC,Social,57632.01,35633,28800,9270,6.217045307443366,Churn-Prone,SIM-2,9270,50,0.24352184217028233,350627.62615407415,1,2020-04,2,2020-06,350627.62615407415,4470,0.04
2020-03,CMP-0038,Performance,APAC,Email,14490.99,3608,1577,234,61.92730769230769,Whale,SIM-4,234,60,0.22475712932307512,10884.409904304026,1,2020-04,1,2020-05,10884.409904304026,4164,0.01
2020-03,CMP-0039,Performance,APAC,Affiliate,46609.6,13794,7960,1112,41.91510791366906,Casual,SIM-1,1112,55,0.2117965325934214,48206.524066586346,1,2020-04,2,2020-06,48206.524066586346,3975,0.14
2020-03,CMP-0040,Brand,APAC,Search,78378.97,15619,8417,2972,26.372466352624496,Churn-Prone,SIM-5,2972,45,0.08094377315725405,122914.57977794883,1,2020-04,2,2020-06,122914.57977794883,2463,0.09
2020-03,CMP-0041,Brand,North America,Social,42334.65,10468,4466,859,49.283643771827705,Churn-Prone,SIM-4,859,60,0.14509763521621438,44061.66788095632,2,2020-05,2,2020-07,44061.66788095632,5051,0.12
2020-03,CMP-0042,Product Launch,North America,Email,44723.28,15186,10320,2845,15.719957820738136,Whale,SIM-2,2845,50,0.19272482368307786,114834.89383108217,1,2020-04,1,2020-05,114834.89383108217,3941,0.1
2020-03,CMP-0043,Brand,North America,Affiliate,97242.53,17801,12075,3147,30.900073085478233,Whale,SIM-3,3147,55,0.050698355451379504,164309.87514669797,1,2020-04,1,2020-05,164309.87514669797,3053,0.09
2020-03,CMP-0044,Brand,North America,Search,82758.95,20763,13349,4104,20.165436159844052,Churn-Prone,SIM-3,4104,55,0.2238108942692969,175201.4049455343,1,2020-04,2,2020-06,175201.4049455343,4681,0.05
2020-03,CMP-0045,Product Launch,LATAM,Social,60446.97,10253,8042,1307,46.248638102524865,Churn-Prone,SIM-1,1307,55,0.1620927340670078,60232.963811593145,1,2020-04,2,2020-06,60232.963811593145,3402,0.01
2020-03,CMP-0046,Product Launch,LATAM,Email,57235.3,13135,11179,2961,19.32971968929416,Casual,SIM-3,2961,55,0.22183885978343976,126727.43248996792,1,2020-04,2,2020-06,114054.68924097113,3683,0.07
2020-03,CMP-0047,Performance,LATAM,Affiliate,37682.58,14140,11881,2873,13.116108597285068,Casual,SIM-2,2873,50,0.17810003606799546,118065.92981883246,1,2020-04,2,2020-06,118065.92981883246,2747,0.13
2020-03,CMP-0048,Performance,LATAM,Search,95159.42,9836,4446,1280,74.343296875,Whale,SIM-2,1280,50,0.11648855309444285,56544.73260195566,2,2020-05,1,2020-06,56544.73260195566,5101,0.14
2020-04,CMP-0049,Performance,Europe,Social,53074.57,11468,5004,1898,27.96341938883035,Casual,SIM-2,1898,50,0.14516414331832111,81123.92279909134,1,2020-05,2,2020-07,81123.92279909134,3757,0.13
2020-04,CMP-0050,Brand,Europe,Email,60067.23,22750,19181,3425,17.537877372262773,Churn-Prone,SIM-4,3425,60,0.1963484309514394,165150.39743947922,1,2020-05,2,2020-07,165150.39743947922,3932,0.11
2020-04,CMP-0051,Performance,Europe,Affiliate,31314.14,6766,4906,521,60.103915547024954,Churn-Prone,SIM-3,521,55,0.27313368088372403,20828.35437427689,1,2020-05,2,2020-07,20828.35437427689,4315,0.14
2020-04,CMP-0052,Brand,Europe,Search,19771.05,7442,5213,860,22.989593023255814,Churn-Prone,SIM-1,860,55,0.12464716279873177,41404.189199619985,1,2020-05,2,2020-07,41404.189199619985,3230,0.09
2020-04,CMP-0053,Product Launch,APAC,Social,54024.53,32302,19213,7139,7.567520661157024,Casual,SIM-4,7139,60,0.2166483939993868,335540.82691430266,1,2020-05,2,2020-07,301986.7442228724,1663,0.15
2020-04,CMP-0054,Brand,APAC,Email,65768.41,10216,8660,1610,40.84994409937888,Casual,SIM-2,1610,50,0.14346470457270888,68951.09128189694,1,2020-05,2,2020-07,68951.09128189694,3091,0.11
2020-04,CMP-0055,Brand,APAC,Affiliate,35276.76,8944,3855,789,44.71072243346008,Churn-Prone,SIM-2,789,50,0.12534889858462445,34504.98595083656,1,2020-05,2,2020-07,34504.98595083656,4946,0.1
2020-04,CMP-0056,Product Launch,APAC,Search,37330.21,5340,3243,1216,30.699185855263156,Casual,SIM-5,1216,45,0.1534169834579524,46325.02266518085,1,2020-05,2,2020-07,46325.02266518085,3810,0.13
2020-04,CMP-0057,Product Launch,North America,Social,97325.93,10639,8269,1936,50.27165805785123,Casual,SIM-4,1936,60,0.09509410189563712,105113.86912380278,1,2020-05,2,2020-07,105113.86912380278,2034,0.06
2020-04,CMP-0058,Performance,North America,Email,44026.0,13028,6051,2380,18.498319327731092,Churn-Prone,SIM-1,2380,55,0.13421458558706728,113331.31074665289,1,2020-05,2,2020-07,113331.31074665289,1833,0.13
2020-04,CMP-0059,Brand,North America,Affiliate,63179.06,39601,30429,1689,37.406193013617525,Casual,SIM-5,1689,45,0.2068603101673004,60282.58212573434,2,2020-06,2,2020-08,60282.58212573434,7976,0.15
2020-04,CMP-0060,Brand,North America,Search,78819.63,11368,8027,2329,33.842692142550455,Casual,SIM-3,2329,55,0.2584071601373002,94994.33482221254,1,2020-05,2,2020-07,94994.33482221254,3942,0.14
2020-04,CMP-0061,Brand,LATAM,Social,56748.56,15910,9238,1621,35.00836520666255,Churn-Prone,SIM-2,1621,50,0.16214420359614767,67908.21229853223,1,2020-05,2,2020-07,67908.21229853223,3154,0.12
2020-04,CMP-0062,Product Launch,LATAM,Email,11330.16,2279,2028,196,57.806938775510204,Whale,SIM-2,196,50,0.1859624537476161,7977.567953273362,2,2020-06,1,2020-07,7977.567953273362,5359,0.1
2020-04,CMP-0063,Product Launch,LATAM,Affiliate,28698.37,3595,1877,171,167.8267251461988,Churn-Prone,SIM-5,171,45,0.21186522033875138,6064.697129493307,1,2020-05,2,2020-07,6064.697129493307,3572,0.05
2020-04,CMP-0064,Product Launch,LATAM,Search,23616.86,5134,2656,296,79.78668918918919,Churn-Prone,SIM-4,296,60,0.28741428395163715,12655.522317018924,1,2020-05,2,2020-07,12655.522317018924,2330,0.03
2020-05,CMP-0065,Product Launch,Europe,Social,71523.37,48949,32898,3845,18.6016566970091,Casual,SIM-4,3845,60,0.2420967564470911,174848.27828765608,1,2020-06,2,2020-08,174848.27828765608,3294,0.07
2020-05,CMP-0066,Product Launch,Europe,Email,14529.38,4219,3565,1301,11.167855495772482,Whale,SIM-5,1301,45,0.21750249872302807,45811.316212260324,1,2020-06,1,2020-07,45811.316212260324,2838,0.12
2020-05,CMP-0067,Product Launch,Europe,Affiliate,17949.13,4163,2306,547,32.8137659963437,Casual,SIM-5,547,45,0.17823024252641007,20227.862580212415,1,2020-06,2,2020-08,20227.862580212415,4547,0.09
2020-05,CMP-0068,Brand,Europe,Search,61786.15,8637,4915,1278,48.34597026604069,Whale,SIM-3,1278,55,0.0518121324266846,66648.12521172834,1,2020-06,1,2020-07,66648.12521172834,4632,0.03
2020-05,CMP-0069,Brand,APAC,Social,35302.03,18263,9292,573,61.60912739965096,Churn-Prone,SIM-4,573,60,0.2870485668962954,24511.270270105364,1,2020-06,2,2020-08,24511.270270105364,2711,0.07
2020-05,CMP-0070,Performance,APAC,Email,99755.4,14013,11015,3261,30.59043238270469,Whale,SIM-1,3261,55,0.05710566912531258,169112.81271402957,1,2020-06,1,2020-07,169112.81271402957,2788,0.06
2020-05,CMP-0071,Product Launch,APAC,Affiliate,89691.76,13857,8070,2358,38.03721798134011,Whale,SIM-4,2358,60,0.2268376342028241,109387.01151298445,1,2020-06,1,2020-07,109387.01151298445,4361,0.11
2020-05,CMP-0072,Performance,APAC,Search,69995.33,9909,7687,2448,28.592863562091505,Churn-Prone,SIM-5,2448,45,0.0733611997115839,102078.5302397719,1,2020-06,2,2020-08,102078.5302397719,3947,0.09
2020-05,CMP-0073,Product Launch,North America,Social,11780.61,2129,1370,338,34.85387573964497,Whale,SIM-4,338,60,0.1637419555817779,16959.313140801547,1,2020-06,1,2020-07,16959.313140801547,4481,0.13
2020-05,CMP-0074,Performance,North America,Email,92223.26,12772,8481,1284,71.82496884735203,Whale,SIM-1,1284,55,0.16100689946051133,59249.69276009869,1,2020-06,1,2020-07,59249.69276009869,2976,0.06
2020-05,CMP-0075,Product Launch,North America,Affiliate,16011.42,2375,1776,374,42.811283422459894,Whale,SIM-5,374,45,0.2278048811501529,12996.043850242926,1,2020-06,1,2020-07,12996.043850242926,3895,0.13
2020-05,CMP-0076,Product Launch,North America,Search,27300.44,3144,2334,199,137.18814070351758,Casual,SIM-3,199,55,0.28253946184790146,7852.605590074719,1,2020-06,2,2020-08,7852.605590074719,3062,0.15
2020-05,CMP-0077,Brand,LATAM,Social,80391.44,8187,4448,810,99.2486913580247,Casual,SIM-1,810,55,0.19123052506797522,36030.680108221706,1,2020-06,2,2020-08,36030.680108221706,3817,0.08
2020-05,CMP-0078,Brand,LATAM,Email,67868.62,18341,10265,2198,30.877443130118287,Whale,SIM-4,2198,60,0.1661150022973053,109972.75349703139,1,2020-06,1,2020-07,109972.75349703139,2438,0.01
2020-05,CMP-0079,Brand,LATAM,Affiliate,73265.33,15409,13172,4237,17.291793721973093,Churn-Prone,SIM-2,4237,50,0.27321474818358416,153969.4555973077,1,2020-06,2,2020-08,153969.4555973077,2785,0.08
