Date,Invoice ID,Customer ID,Customer Name,Product ID,Product Name,Entity,Country,Channel,Currency,Units Sold,Unit Price,Discount %,Net Revenue,Returns,FX Rate
2020-01-01,INV000001,CUST0012,Customer_12,PRD003,Petty Kingdoms,SummonStorm BR,Philippines,Google Play,EUR,7,54.12,0.2,303.072,0.0,0.8826
2020-01-01,INV000002,CUST0081,Customer_81,PRD001,Summon Siege,TapForge CN,Singapore,App Store,EUR,9,45.61,0.23,316.07730000000004,0.0,0.9279
2020-01-01,INV000003,CUST0052,Customer_52,PRD002,Idle Bureaucracy,Tapstorm SG,Brazil,Google Play,EUR,2,5.76,0.12,10.137599999999999,0.0,1.2826
2020-01-01,INV000004,CUST0052,Customer_52,PRD002,Idle Bureaucracy,Tapstorm SG,Singapore,Emulator,EUR,5,85.61,0.07,398.0865,0.0,0.8016
2020-01-01,INV000005,CUST0088,Customer_88,PRD003,Petty Kingdoms,TapForge CN,Philippines,Google Play,EUR,4,33.63,0.2,107.61600000000001,0.0,0.8404
2020-01-01,INV000006,CUST0021,Customer_21,PRD002,Idle Bureaucracy,TapForge CN,Singapore,App Store,EUR,7,53.61,0.03,364.01189999999997,0.0,0.8945
2020-01-01,INV000007,CUST0042,Customer_42,PRD003,Petty Kingdoms,TapForge CN,China,Emulator,EUR,9,57.22,0.03,499.5306,0.0,1.0916
2020-01-01,INV000008,CUST0055,Customer_55,PRD002,Idle Bureaucracy,SummonStorm BR,Philippines,App Store,EUR,7,11.82,0.02,81.08520000000001,0.0,1.0985
2020-01-01,INV000009,CUST0005,Customer_5,PRD003,Petty Kingdoms,SummonStorm BR,Brazil,Web Portal,EUR,9,4.42,0.05,37.791000000000004,0.0,0.9959
2020-01-01,INV000010,CUST0049,Customer_49,PRD002,Idle Bureaucracy,WhaleCare PH,China,App Store,EUR,7,36.29,0.24,193.0628,0.0,0.9557
2020-01-01,INV000011,CUST0037,Customer_37,PRD003,Petty Kingdoms,TapForge CN,Philippines,Google Play,EUR,7,49.01,0.07,319.0551,0.0,1.1245
2020-01-01,INV000012,CUST0069,Customer_69,PRD002,Idle Bureaucracy,SummonStorm BR,Singapore,Web Portal,EUR,2,4.03,0.27,5.883800000000001,0.0,0.8537
2020-01-01,INV000013,CUST0072,Customer_72,PRD003,Petty Kingdoms,WhaleCare PH,Philippines,Emulator,EUR,1,80.82,0.25,60.614999999999995,0.0,1.0687
2020-01-01,INV000014,CUST0043,Customer_43,PRD003,Petty Kingdoms,SummonStorm BR,Brazil,App Store,EUR,3,28.24,0.2,67.776,0.0,0.9125
